session_id,subsession_id,start_time,end_time,license_category_id,license_category,num_drivers,num_cautions,num_caution_laps,num_lead_changes,event_average_lap,event_best_lap_time,event_laps_complete,driver_changes,winner_group_id,winner_name,winner_ai,cust_id,starting_position,finish_position,starting_position_in_class,finish_position_in_class,laps_complete,laps_led,incidents,car_class_id,car_id,car_class_name,car_class_short_name,car_name,car_name_abbreviated,official_session,season_id,season_year,season_quarter,event_type,event_type_name,series_id,series_name,series_short_name,race_week_num,event_strength_of_field,champ_points,drop_race,season_license_group,season_license_group_name,track_config,track_id,track_name
294655120,81946389,2025-12-17T00:30:00Z,2025-12-17T01:11:11Z,5,Sports Car,28,0,0,0,1475065,1470485,9,False,1389817,Finnian Stewart,False,924869,23,11,23,11,9,0,8,2268,204,GT4 Class,GT4 Class,Ford Mustang GT4,FMGT4,True,5910,2026,1,5,Race,491,GT4 Challenge by Falken Tyre,GT4 Challenge by Falken Tyre,0,1925,73,False,2,Class D,Bike,526,Circuit de Spa-Francorchamps
294768584,81975132,2025-12-18T02:30:00Z,2025-12-18T03:11:03Z,5,Sports Car,30,0,0,1,1499841,1481079,9,False,1369837,Borja CasaÃ±as Toledo,False,924869,17,8,17,8,9,0,3,2268,204,GT4 Class,GT4 Class,Ford Mustang GT4,FMGT4,True,5910,2026,1,5,Race,491,GT4 Challenge by Falken Tyre,GT4 Challenge by Falken Tyre,0,1878,85,False,2,Class D,Bike,526,Circuit de Spa-Francorchamps
294960512,82021925,2025-12-19T22:30:00Z,2025-12-19T23:10:30Z,5,Sports Car,28,0,0,2,1488902,1479455,9,False,961310,Kacper SosnÃ³wka,False,924869,12,20,12,20,9,0,10,2268,204,GT4 Class,GT4 Class,Ford Mustang GT4,FMGT4,True,5910,2026,1,5,Race,491,GT4 Challenge by Falken Tyre,GT4 Challenge by Falken Tyre,0,2168,35,True,2,Class D,Bike,526,Circuit de Spa-Francorchamps
295033007,82040347,2025-12-20T15:00:00Z,2025-12-20T17:20:10Z,5,Sports Car,37,0,0,7,1552728,1343342,47,False,248203,Carter Williams3,False,924869,36,26,19,14,26,0,9,2268,204,GT4 Class,GT4 Class,Ford Mustang GT4,FMGT4,True,5914,2026,1,5,Race,572,IMSA Sportscar Endurance Challenge,IMSA Sportscar Endurance Challenge,0,2181,34,True,3,Class C,Bike,526,Circuit de Spa-Francorchamps
295083493,82054818,2025-12-21T02:30:00Z,2025-12-21T03:10:12Z,5,Sports Car,29,0,0,0,1475851,1469809,9,False,1121731,Kevin Delgado,False,924869,26,25,26,25,9,0,8,2268,204,GT4 Class,GT4 Class,Ford Mustang GT4,FMGT4,True,5910,2026,1,5,Race,491,GT4 Challenge by Falken Tyre,GT4 Challenge by Falken Tyre,0,2585,17,True,2,Class D,Bike,526,Circuit de Spa-Francorchamps
295092370,82057237,2025-12-21T04:30:00Z,2025-12-21T05:10:33Z,5,Sports Car,28,0,0,2,1483502,1472845,9,False,1121731,Kevin Delgado,False,924869,24,15,24,15,9,0,7,2268,204,GT4 Class,GT4 Class,Ford Mustang GT4,FMGT4,True,5910,2026,1,5,Race,491,GT4 Challenge by Falken Tyre,GT4 Challenge by Falken Tyre,0,2492,68,True,2,Class D,Bike,526,Circuit de Spa-Francorchamps
295159871,82075015,2025-12-21T20:00:00Z,2025-12-21T22:20:52Z,5,Sports Car,39,0,0,1,1606166,1527887,45,False,1027114,Vans Weijers,False,924869,33,17,16,8,41,0,21,2268,204,GT4 Class,GT4 Class,Ford Mustang GT4,FMGT4,True,5914,2026,1,5,Race,572,IMSA Sportscar Endurance Challenge,IMSA Sportscar Endurance Challenge,0,2059,76,False,3,Class C,Bike,526,Circuit de Spa-Francorchamps
295485282,82158603,2025-12-24T22:30:00Z,2025-12-24T23:13:41Z,5,Sports Car,30,0,0,0,764529,760277,20,False,508077,Lukas PÃ¶ppel,False,924869,16,16,9,9,19,0,2,4012,160,Toyota GR86,Toyota GR86,Toyota GR86,GR86,True,5898,2026,1,5,Race,112,Production Car Challenge by Sim-Lab,Production Car Challenge by Sim-Lab,1,2109,47,False,2,Class D,Extended MIA Loop,535,Miami International Autodrome
295495077,82160968,2025-12-25T00:45:00Z,2025-12-25T01:28:59Z,5,Sports Car,23,0,0,1,1551573,1531849,11,False,986859,Matthew Brennan4,False,924869,14,12,14,12,11,0,9,4093,208,Porsche 911 Cup (992.2),Porsche 992.2,Porsche 911 Cup (992.2),P9922,True,5922,2026,1,5,Race,476,iRacing Porsche Cup - Fixed by CONSPIT,iRacing Porsche Cup - Fixed by CONSPIT,1,2043,57,False,3,Class C,Grand Prix Pits,523,Circuit de Spa-Francorchamps
296035799,82303305,2025-12-30T04:30:00Z,2025-12-30T05:05:52Z,5,Sports Car,27,0,0,0,1010555,1003087,12,False,1093190,Adam Azrou2,False,924869,25,17,25,17,11,0,13,2268,204,GT4 Class,GT4 Class,Ford Mustang GT4,FMGT4,True,5910,2026,1,5,Race,491,GT4 Challenge by Falken Tyre,GT4 Challenge by Falken Tyre,2,2624,56,True,2,Class D,International,180,Oulton Park Circuit
296044520,82305318,2025-12-30T06:30:00Z,2025-12-30T07:06:53Z,5,Sports Car,29,0,0,0,1013222,1003963,12,False,81076,Austin Farr,False,924869,24,19,24,19,11,0,7,2268,204,GT4 Class,GT4 Class,Ford Mustang GT4,FMGT4,True,5910,2026,1,5,Race,491,GT4 Challenge by Falken Tyre,GT4 Challenge by Falken Tyre,2,2402,51,True,2,Class D,International,180,Oulton Park Circuit
296131645,82328386,2025-12-31T02:30:00Z,2025-12-31T03:06:25Z,5,Sports Car,28,0,0,1,1024859,1011749,12,False,1065079,Juan Felipe Castro2,False,924869,3,25,3,25,11,0,6,2268,204,GT4 Class,GT4 Class,Ford Mustang GT4,FMGT4,True,5910,2026,1,5,Race,491,GT4 Challenge by Falken Tyre,GT4 Challenge by Falken Tyre,2,1947,9,True,2,Class D,International,180,Oulton Park Circuit
296218456,82349941,2025-12-31T22:30:00Z,2025-12-31T23:06:24Z,5,Sports Car,27,0,0,0,1023270,1013292,12,False,786424,Nathan Jennings,False,924869,6,14,6,14,12,0,4,2268,157,GT4 Class,GT4 Class,Mercedes-AMG GT4,MGT4,True,5910,2026,1,5,Race,491,GT4 Challenge by Falken Tyre,GT4 Challenge by Falken Tyre,2,1843,53,True,2,Class D,International,180,Oulton Park Circuit
296244717,82356635,2026-01-01T04:30:00Z,2026-01-01T05:06:35Z,5,Sports Car,28,0,0,1,1016324,1003916,12,False,1086067,Thomas B Anthony,False,924869,27,21,27,21,12,0,9,2268,204,GT4 Class,GT4 Class,Ford Mustang GT4,FMGT4,True,5910,2026,1,5,Race,491,GT4 Challenge by Falken Tyre,GT4 Challenge by Falken Tyre,2,2649,36,True,2,Class D,International,180,Oulton Park Circuit
296313948,82374236,2026-01-01T20:30:00Z,2026-01-01T21:06:51Z,5,Sports Car,29,0,0,0,1019658,1008567,12,False,1024382,Ross Pickering2,False,924869,12,5,12,5,12,0,5,2268,204,GT4 Class,GT4 Class,Ford Mustang GT4,FMGT4,True,5910,2026,1,5,Race,491,GT4 Challenge by Falken Tyre,GT4 Challenge by Falken Tyre,2,1903,98,False,2,Class D,International,180,Oulton Park Circuit
296340583,82382456,2026-01-02T02:30:00Z,2026-01-02T03:06:32Z,5,Sports Car,29,0,0,0,1017983,1007842,12,False,786424,Nathan Jennings,False,924869,3,4,3,4,12,0,4,2268,204,GT4 Class,GT4 Class,Ford Mustang GT4,FMGT4,True,5910,2026,1,5,Race,491,GT4 Challenge by Falken Tyre,GT4 Challenge by Falken Tyre,2,1930,103,False,2,Class D,International,180,Oulton Park Circuit
296349504,82384938,2026-01-02T04:30:00Z,2026-01-02T05:07:24Z,5,Sports Car,30,0,0,1,1023181,1011568,12,False,1019231,Chris Mosbeck,False,924869,7,23,7,23,11,0,9,2268,204,GT4 Class,GT4 Class,Ford Mustang GT4,FMGT4,True,5910,2026,1,5,Race,491,GT4 Challenge by Falken Tyre,GT4 Challenge by Falken Tyre,2,1783,23,True,2,Class D,International,180,Oulton Park Circuit
296358239,82386931,2026-01-02T06:30:00Z,2026-01-02T07:06:20Z,5,Sports Car,28,0,0,0,1011359,1003711,12,False,179983,Joan Compte,False,924869,22,12,22,12,12,0,8,2268,204,GT4 Class,GT4 Class,Ford Mustang GT4,FMGT4,True,5910,2026,1,5,Race,491,GT4 Challenge by Falken Tyre,GT4 Challenge by Falken Tyre,2,2244,77,True,2,Class D,International,180,Oulton Park Circuit
296436782,82407921,2026-01-03T00:30:00Z,2026-01-03T01:06:53Z,5,Sports Car,30,0,0,0,1021769,1010880,12,False,1058429,Oliver Knott,False,924869,25,12,25,12,12,0,8,2268,204,GT4 Class,GT4 Class,Ford Mustang GT4,FMGT4,True,5910,2026,1,5,Race,491,GT4 Challenge by Falken Tyre,GT4 Challenge by Falken Tyre,2,1889,69,True,2,Class D,International,180,Oulton Park Circuit
296454731,82413393,2026-01-03T04:30:00Z,2026-01-03T05:06:00Z,5,Sports Car,30,0,0,0,1013064,1006855,12,False,859853,In Sung Choi,False,924869,9,8,9,8,12,0,2,2268,204,GT4 Class,GT4 Class,Ford Mustang GT4,FMGT4,True,5910,2026,1,5,Race,491,GT4 Challenge by Falken Tyre,GT4 Challenge by Falken Tyre,2,2692,121,False,2,Class D,International,180,Oulton Park Circuit
296542953,82437317,2026-01-04T00:30:00Z,2026-01-04T01:06:37Z,5,Sports Car,30,0,0,0,1016682,1007417,12,False,369230,Ryan Dingler,False,924869,23,20,23,20,12,0,6,2268,204,GT4 Class,GT4 Class,Ford Mustang GT4,FMGT4,True,5910,2026,1,5,Race,491,GT4 Challenge by Falken Tyre,GT4 Challenge by Falken Tyre,2,1907,37,True,2,Class D,International,180,Oulton Park Circuit
296551898,82440011,2026-01-04T02:30:00Z,2026-01-04T03:06:53Z,5,Sports Car,28,0,0,1,1024265,1012473,12,False,491300,Elliot Cox,False,924869,23,11,23,11,12,0,13,2268,204,GT4 Class,GT4 Class,Ford Mustang GT4,FMGT4,True,5910,2026,1,5,Race,491,GT4 Challenge by Falken Tyre,GT4 Challenge by Falken Tyre,2,1855,68,True,2,Class D,International,180,Oulton Park Circuit
296560880,82442642,2026-01-04T04:30:00Z,2026-01-04T05:06:51Z,5,Sports Car,27,0,0,0,1019641,1011690,12,False,1184238,Gabriel Faccini,False,924869,5,5,5,5,12,0,3,2268,204,GT4 Class,GT4 Class,Ford Mustang GT4,FMGT4,True,5910,2026,1,5,Race,491,GT4 Challenge by Falken Tyre,GT4 Challenge by Falken Tyre,2,1809,92,False,2,Class D,International,180,Oulton Park Circuit
